unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,HEPBB,18,18,18,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ALB,Albania,HEPBB,99,99,99,99,99,99,97,97,99,98,98,98,99,99,99,98,99,98,98,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,DZA,Algeria,HEPBB,99,99,99,99,99,99,99,99,99,99,99,99,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AND,Andorra,HEPBB,94,94,94,94,94,96,95,93,94,94,98,98,98,97,97,96,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ARG,Argentina,HEPBB,82,80,81,84,87,85,88,85,79,81,79,76,72,71,65,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ARM,Armenia,HEPBB,97,97,98,98,98,98,95,95,94,92,91,92,92,93,94,95,95,96,97,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AUT,Austria,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,AZE,Azerbaijan,HEPBB,99,99,99,99,99,99,98,99,98,95,92,88,86,82,82,83,82,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BHS,Bahamas,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,BHR,Bahrain,HEPBB,98,99,99,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,BGD,Bangladesh,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRB,Barbados,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BLR,Belarus,HEPBB,98,98,98,98,99,99,98,98,98,98,98,98,99,99,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,BEL,Belgium,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BLZ,Belize,HEPBB,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BEN,Benin,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,BTN,Bhutan,HEPBB,96,95,82,78,78,64,60,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BOL,Bolivia (Plurinational State of),HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BIH,Bosnia and Herzegovina,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BWA,Botswana,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRA,Brazil,HEPBB,80,80,82,91,88,89,90,91,92,92,93,94,95,94,92,91,93,95,99,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,BRN,Brunei Darussalam,HEPBB,99,99,99,99,99,99,95,95,96,99,99,99,97,96,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BGR,Bulgaria,HEPBB,96,97,96,97,98,98,98,99,98,98,98,98,99,99,98,98,96,99,98,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BFA,Burkina Faso,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BDI,Burundi,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CPV,Cabo Verde,HEPBB,97,96,96,93,99,94,99,99,99,91,81,84,68,68,75,76,77,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KHM,Cambodia,HEPBB,73,79,87,88,91,62,68,68,56,52,43,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CMR,Cameroon,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,CAN,Canada,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CAF,Central African Republic,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
