unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,HIB3,66,66,66,65,62,64,67,68,66,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ALB,Albania,HIB3,99,99,98,99,98,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,DZA,Algeria,HIB3,91,91,91,95,95,95,95,95,95,95,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AND,Andorra,HIB3,99,99,98,97,97,96,98,99,98,97,98,95,93,97,95,91,92,92,90,80,55,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,HIB3,59,52,55,55,55,54,52,46,52,34,41,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,HIB3,95,95,92,99,99,99,98,99,98,94,97,99,99,99,97,97,97,97,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ARG,Argentina,HIB3,86,86,92,94,94,94,91,91,94,94,93,91,91,98,98,96,93,83,83,86,49,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ARM,Armenia,HIB3,92,94,94,94,93,95,95,95,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,HIB3,94,94,94,93,91,91,92,92,92,94,94,94,95,94,95,95,95,95,90,87,82,77,,,,,,,,,,,,,,,,,
Western Europe,AUT,Austria,HIB3,85,90,87,93,98,95,92,89,86,83,83,85,83,86,83,84,82,74,72,74,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,AZE,Azerbaijan,HIB3,95,95,97,96,94,93,89,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BHS,Bahamas,HIB3,90,94,94,95,96,97,98,98,98,96,94,95,95,93,93,93,94,99,90,78,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,BHR,Bahrain,HIB3,99,97,99,98,98,99,99,99,99,97,97,97,98,98,98,97,98,99,97,96,39,,,,,,,,,,,,,,,,,,
South Asia,BGD,Bangladesh,HIB3,98,98,98,98,97,96,94,87,94,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRB,Barbados,HIB3,95,90,97,97,94,91,87,91,86,93,85,93,84,92,93,88,66,18,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BLR,Belarus,HIB3,9,9,11,9,20,23,22,21,,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,BEL,Belgium,HIB3,97,97,97,98,98,98,98,98,98,98,98,98,98,95,87,87,86,86,86,59,33,6,10,13,16,20,,,,,,,,,,,,,
Latin America & Caribbean,BLZ,Belize,HIB3,96,88,95,94,95,95,98,95,96,97,94,96,98,96,97,96,89,96,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BEN,Benin,HIB3,76,76,76,74,74,77,80,75,76,79,75,82,74,35,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,BTN,Bhutan,HIB3,97,98,98,99,99,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BOL,Bolivia (Plurinational State of),HIB3,83,84,87,89,85,87,93,95,91,93,88,84,83,85,84,80,77,77,77,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,BIH,Bosnia and Herzegovina,HIB3,62,68,69,78,79,83,87,85,83,80,83,83,82,50,49,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BWA,Botswana,HIB3,95,95,95,95,95,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRA,Brazil,HIB3,83,93,89,96,95,98,95,99,99,99,99,98,97,96,95,94,93,93,90,,,,,,,,,,,,,,,,,,,,
