country,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Austria,Azerbaijan,Bangladesh,Belarus,Belize,Benin,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czechia,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lesotho,Liberia,Libya,Lithuania,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Nicaragua,Niger,Nigeria,Niue,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Republic of North Macedonia,Romania,Russian Federation,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Sri Lanka,State of Palestine,Sudan,Sweden,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Republic of Tanzania,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Zambia,Zimbabwe
a2018,78,99,99,86,93,99,,97,99,98,99,89,99,90,95,98,90,99,96,98,91,96,93,88,74,59,96,99,89,94,81,99,92,98,98,99,,96,83,,93,95,99,90,95,81,63,97,92,98,85,99,,,87,94,97,98,,88,72,91,99,83,94,99,92,81,99,95,,,,93,99,94,95,95,89,99,97,79,95,98,92,99,96,70,92,98,99,83,,98,90,99,96,80,89,99,83,99,95,90,94,99,96,98,87,53,99,99,86,99,69,91,81,75,92,,99,98,96,97,96,95,97,97,99,99,62,96,98,83,98,97,90,98,,,83,37,70,52,99,99,88,26,79,99,99,95,83,88,92,96,98,99,88,90,95,99,98,96,94,92,95,64,91,95
a2017,78,99,99,83,95,99,,97,99,98,90,89,99,93,97,98,90,99,96,98,92,98,99,91,74,59,96,99,91,94,76,99,90,93,98,99,,98,80,,92,97,99,88,86,83,63,97,94,98,85,99,,,93,94,96,99,,81,72,91,97,83,93,99,92,82,99,96,,,,93,93,99,95,89,89,99,97,81,96,98,87,99,97,70,89,98,99,81,,92,90,99,94,83,89,99,83,99,95,91,94,99,95,98,92,53,99,99,86,99,79,96,84,82,92,,99,98,96,97,97,95,98,97,88,99,83,94,97,99,97,99,90,99,,,78,37,75,52,99,99,97,25,78,98,99,95,75,89,91,93,98,99,89,84,95,99,98,99,95,94,97,66,99,95
a2016,78,99,99,49,92,99,,98,99,98,94,88,99,96,97,98,90,99,96,98,93,96,99,70,74,59,97,99,88,94,80,99,89,95,99,99,,97,80,,90,98,99,84,96,87,59,97,95,97,83,99,,,94,98,98,94,,87,72,91,95,83,94,99,89,81,99,90,18,,,96,98,99,95,99,79,96,97,78,96,98,97,99,98,70,86,99,99,77,,94,86,98,99,85,89,99,85,99,95,88,89,99,93,98,91,58,92,99,86,99,89,94,90,90,93,,97,98,97,99,84,96,99,96,96,99,76,92,98,97,98,99,92,99,,,80,37,90,52,99,99,96,26,72,98,99,86,79,80,95,96,98,98,94,75,99,99,98,99,94,97,95,73,99,95
a2015,76,99,99,69,96,99,,98,99,97,98,86,99,99,95,98,99,99,96,98,93,94,99,74,74,70,93,99,90,94,85,99,83,79,98,99,,97,74,,92,98,99,88,96,99,48,97,95,98,88,99,,,98,98,96,97,,89,72,92,99,83,95,99,87,80,99,94,77,,,99,84,98,95,87,79,99,97,83,93,98,74,99,97,70,90,99,99,76,,99,85,98,98,76,89,99,88,99,95,94,94,99,94,98,94,58,99,99,86,99,82,96,91,80,94,32,97,97,97,94,98,96,99,95,99,99,83,97,98,95,98,99,90,99,,,79,37,83,55,99,99,88,24,66,98,99,79,86,80,97,96,99,99,95,39,96,99,98,99,95,99,97,47,97,90
a2014,74,99,99,72,99,99,,98,99,98,98,91,99,94,98,98,99,99,97,98,92,99,98,82,74,58,98,99,89,90,95,99,80,84,98,99,,98,78,,99,98,99,89,96,85,56,97,95,99,69,99,,,91,96,96,99,,91,66,93,99,81,96,99,89,82,99,99,74,,,90,93,95,95,94,72,99,97,82,92,98,73,99,98,75,97,99,99,73,,89,93,97,96,73,89,99,91,99,94,92,97,99,99,98,87,51,99,99,85,99,98,96,94,79,92,99,90,99,97,99,98,96,99,99,89,98,89,95,98,95,98,98,90,99,,,81,37,93,55,99,99,95,26,81,98,99,79,79,89,95,95,99,99,91,39,90,99,99,99,95,97,96,73,99,99
a2013,72,99,99,71,99,99,,98,99,99,99,95,97,94,97,98,99,99,97,96,95,94,96,82,37,60,98,99,85,85,92,98,79,90,99,99,,98,83,,86,97,99,90,98,90,64,97,96,99,68,99,,,92,98,95,98,,88,71,93,98,82,97,99,91,86,99,99,76,,,93,93,98,95,92,86,99,98,82,94,98,87,99,98,77,96,99,99,70,,93,95,99,91,70,89,99,93,99,93,86,94,99,97,98,43,50,99,99,84,95,99,91,95,87,93,99,98,99,96,97,98,96,99,94,99,96,89,97,99,97,97,99,99,99,,,82,37,88,58,99,99,93,27,84,98,99,86,97,89,97,96,98,99,93,95,94,99,98,99,93,95,95,71,95,95
a2012,78,96,99,73,99,96,,98,98,98,98,96,95,99,96,98,99,99,97,96,98,99,99,81,74,62,92,99,89,79,92,98,78,93,99,99,,98,83,,87,98,99,94,95,90,66,97,97,99,74,99,,,97,98,95,98,,94,77,94,98,82,98,99,90,88,99,99,42,,,95,95,96,95,97,95,97,98,81,94,93,85,99,98,78,99,99,99,77,,97,95,99,99,78,89,99,95,99,91,87,90,99,96,98,85,51,99,99,84,98,99,93,95,89,94,99,97,99,99,95,99,96,99,95,99,97,90,99,99,97,98,99,98,99,90,,85,37,86,65,99,98,92,24,82,97,99,86,97,84,99,96,99,99,95,95,94,99,99,99,92,96,98,64,92,98
a2011,71,97,99,74,99,96,,99,99,99,98,88,95,99,94,98,99,96,98,99,90,99,98,80,74,52,91,99,83,78,95,98,78,74,99,99,,98,66,,89,98,99,98,98,95,66,97,99,98,80,99,,,94,90,96,98,,91,82,92,97,83,99,99,90,98,99,94,41,,,95,94,95,96,99,86,99,98,77,93,87,85,99,98,82,99,99,98,84,,98,86,99,99,75,89,99,97,99,91,93,89,99,97,98,53,57,99,99,83,99,99,94,91,91,94,97,97,99,98,94,99,95,99,99,99,99,95,99,98,97,99,99,97,99,97,,94,39,84,75,99,98,92,23,90,97,99,79,97,89,98,96,98,99,97,90,96,99,99,99,90,95,98,59,92,98
a2010,68,99,99,79,99,95,,98,98,99,98,90,96,98,96,98,99,95,98,99,93,99,95,83,74,58,95,99,84,76,95,99,77,91,99,99,,98,85,,90,99,98,98,98,96,71,98,97,98,76,99,,,94,92,96,99,,99,93,93,98,82,99,99,89,88,99,90,30,,,95,99,95,96,99,87,98,98,72,92,90,73,99,99,76,97,99,97,82,,99,85,99,98,70,89,99,95,99,90,93,88,99,94,98,81,62,99,99,74,99,96,93,95,83,93,96,99,96,98,96,99,96,99,91,97,90,87,99,98,97,99,99,97,99,98,,91,41,81,,99,98,90,23,97,98,99,79,97,89,98,97,99,99,86,92,98,99,99,99,88,92,94,65,92,99
a2009,64,97,99,70,99,99,,95,99,98,99,93,94,93,97,99,99,99,98,99,98,99,96,81,74,46,95,99,90,80,90,99,81,95,99,99,98,98,85,,90,99,96,99,98,99,71,98,97,97,74,99,,,93,94,95,99,,93,91,94,98,80,99,99,88,78,99,92,30,,,94,94,95,96,99,76,99,98,67,96,92,87,99,99,78,95,99,99,84,,98,81,95,99,75,89,98,95,99,90,93,85,99,94,98,86,76,99,99,74,99,96,91,97,90,94,98,98,96,96,98,99,96,99,93,97,80,92,99,98,97,98,96,96,99,97,,92,29,82,,99,99,82,21,95,82,99,74,91,90,98,96,99,99,90,94,98,93,99,99,86,91,97,58,92,90
