"","iso3","country","country.y","totalcases","totaldeaths","a1980","a1981","a1982","a1983","a1984","a1985","a1986","a1987","a1988","a1989","a1990","a1991","a1992","a1993","a1994","a1995","a1996","a1997","a1998","a1999","a2000","a2001","a2002","a2003","a2004","a2005","a2006","a2007","a2008","a2009","a2010","a2011","a2012","a2013","a2014","a2015","a2016","a2017","a2018","avg"
"1","AFG","Afghanistan","Afghanistan",35915,1211,0,0,10,10,11,17,18,27,40,38,30,21,19,17,15,31,47,43,35,38,30,43,46,44,51,57,60,60,66,64,68,71,78,72,74,76,78,78,78,41
"2","AGO","Angola","Angola",779,30,0,0,0,25,28,28,32,29,32,47,48,53,47,53,48,60,65,70,60,49,53,70,76,54,63,51,54,75,73,70,79,74,73,71,72,69,49,83,86,50
"3","ALB","Albania","Albania",4358,120,93,93,92,90,90,92,92,92,92,94,94,80,81,82,87,97,94,94,87,93,93,93,94,95,97,98,97,98,99,97,99,97,96,99,99,99,99,99,99,89
"4","ARE","United Arab Emirates","United Arab Emirates",57734,342,15,18,28,37,42,60,78,92,93,96,96,96,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,96,94,94,90,96,99,95,95,82
"5","ARG","Argentina","Argentina",136105,2506,62,70,77,70,78,90,99,94,91,92,99,99,99,99,99,99,99,99,98,96,95,92,95,99,99,99,99,99,99,99,99,99,99,99,99,96,92,95,93,89
"6","ARM","Armenia","Armenia",36162,688,0,0,0,0,0,0,0,0,0,0,0,0,88,84,83,84,82,72,95,93,97,96,97,92,96,94,91,94,98,99,95,96,96,99,99,99,99,99,99,61
"7","AUS","Australia","Australia",12896,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","AUT","Austria","Austria",20038,711,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"9","AZE","Azerbaijan","Azerbaijan",28633,385,0,0,0,0,0,0,0,0,0,0,0,0,69,74,77,76,76,77,79,82,81,83,82,83,82,82,86,88,92,95,98,99,98,98,98,98,98,97,97,57
"10","BDI","Burundi","Burundi",328,1,0,59,56,52,46,52,77,82,54,99,97,87,90,73,61,92,90,87,86,84,85,87,88,90,91,89,98,97,99,98,93,90,98,95,92,93,93,92,91,78
